t.series,F.D,fishing_mortality_discards,,
t.series,Fsum,total_fishing_mortality,,
t.series,N,abundance,,kg
t.series,recruits,recruitment,,kg
t.series,logR.dev,log_recruitment_deviations,,kg
t.series,SSB.SSBmsy,sb_sb_msy,,kg
t.series,SSB.msst,sb_msst,,kg
t.series,SSB.SSBFproxy,sb_sb_Fproxy,,kg
t.series,B.B0,b_b0,,kg
t.series,MatFemB,mature_female_biomass,,kg
t.series,SPR.static,spr,,
t.series,total.L.klb,landings_weight,,kg
t.series,total.L.knum,landings_numbers,,kg
t.series,total.D.klb,discards_weight,,kg
t.series,total.D.knum,discards_numbers,,kg
t.series,U.ob,index_observed,,
t.series,U.pr,index_predicted,,
t.series,cv.U,index_cv,,
t.series,q.rate.mult,catchability_rate,,
t.series,q.DD.mult,q_DD_mult,,kg
t.series,q.DD.B.4plus,q_DD_B_4plus,,kg
t.series,q.RW.log.dev,q_RW_log_dev,,kg
t.series,L.ob,landings_observed,,kg
t.series,L.pr,landings_predicted,,kg
t.series,cv.L,landings_cv,,kg
t.series,D.ob,discard_observed,,kg
t.series,D.pr,discard_predicted,,kg
t.series,cv.D,discard_cv,,kg
t.series,cl.D.release,cl_D_release,,kg
t.series,cl.Dosed.release,cl_Dosed_release,,kg
t.series,cp.D.release,cp_D_release,,kg
t.series,cp.Dosed.release,cp_Dosed_release,,kg
t.series,hb.D.release,hb_D_release,,kg
t.series,mrip.D.release,mrip_D_release,,kg
t.series,lcomp.n,length_composition,,
t.series,lcomp.D.n,length_composition_discards,,kg
t.series,acomp.n,age_composition,,kg
t.series,acomp.Mcvt.n,acomp_Mcvt_n,,kg
t.series,lcomp.nfish,lcomp_nfish,,kg
t.series,lcomp.D.nfish,lcomp_D_nfish,,kg
t.series,acomp.nfish,acomp_nfish,,kg
t.series,acomp.Mcvt.nfish,acomp_Mcvt_nfish,,kg
t.series,lcomp.neff,lcomp_neff,,kg
t.series,lcomp.D.neff,lcomp_D_neff,,kg
t.series,acomp.neff,acomp_neff,,kg
t.series,acomp.Mcvt.neff,acomp_Mcvt_neff,,kg
LD.pr.tseries,L.klb,landings_weight,,kg
LD.pr.tseries,L.knum,landings_numbers,,
LD.pr.tseries,D.klb,discard_weight,,kg
LD.pr.tseries,D.knum,discard_numbers,,
a.series,length,length,,cm
a.series,length.cv,length_cv,,cm
a.series,length.sd,length_sd,,cm
a.series,weight,weight,,kg
a.series,wgt.mt,wgt_mt,,kg
