module_name,label,alt_label,unit
FIT_LEN_COMPS,effn,,kg
FIT_LEN_COMPS,method,,kg
FIT_LEN_COMPS,dm_parm,,kg
FIT_LEN_COMPS,mv_t_parm,,kg
FIT_LEN_COMPS,all_obs_mean,,kg
FIT_LEN_COMPS,all_exp_mean,,kg
FIT_LEN_COMPS,all_delta,,kg
FIT_LEN_COMPS,all_exp,,kg
FIT_LEN_COMPS,all_durwat,,kg
FIT_LEN_COMPS,f_obs_mean,,kg
FIT_LEN_COMPS,f_exp_mean,,kg
FIT_LEN_COMPS,f_delta,,kg
FIT_LEN_COMPS,f_exp,,kg
FIT_LEN_COMPS,f_durwat,,kg
FIT_LEN_COMPS,m_obs_mean,,kg
FIT_LEN_COMPS,m_exp_mean,,kg
FIT_LEN_COMPS,m_delta,,kg
FIT_LEN_COMPS,m_exp,,kg
FIT_LEN_COMPS,m_durwat,,kg
FIT_LEN_COMPS,%f_obs,,kg
FIT_LEN_COMPS,%f_exp,,kg
FIT_AGE_COMPS,part,,kg
FIT_AGE_COMPS,ageerr,,kg
FIT_AGE_COMPS,lbin_lo,,kg
FIT_AGE_COMPS,lbin_hi,,kg
FIT_AGE_COMPS,nsamp_in,,kg
FIT_AGE_COMPS,nsamp_adj,,kg
FIT_AGE_COMPS,nsamp_dm,,kg
FIT_AGE_COMPS,effn,,kg
FIT_AGE_COMPS,all_obs_mean,,kg
FIT_AGE_COMPS,all_exp_mean,,kg
FIT_AGE_COMPS,all_delta,,kg
FIT_AGE_COMPS,all_exp,,kg
FIT_AGE_COMPS,all_durwat,,kg
FIT_AGE_COMPS,f_obs_mean,,kg
FIT_AGE_COMPS,f_exp_mean,,kg
FIT_AGE_COMPS,f_delta,,kg
FIT_AGE_COMPS,f_exp,,kg
FIT_AGE_COMPS,f_durwat,,kg
FIT_AGE_COMPS,m_obs_mean,,kg
FIT_AGE_COMPS,m_exp_mean,,kg
FIT_AGE_COMPS,m_delta,,kg
FIT_AGE_COMPS,m_exp,,kg
FIT_AGE_COMPS,m_durwat,,kg
FIT_AGE_COMPS,%f_obs,,kg
FIT_AGE_COMPS,%f_exp,,kg
LEN_SELEX,Lsel,selectivity_length,
LEN_SELEX,Ret,retention,kg
LEN_SELEX,Mort,discard_mortality,
LEN_SELEX,Keep,keep,kg
LEN_SELEX,Dead,dead,kg
Growth_Parameters,a1,,kg
Growth_Parameters,a2,,kg
Growth_Parameters,l_a_a1,,kg
Growth_Parameters,l_a_a2,,kg
Growth_Parameters,k,,kg
Growth_Parameters,a_a_l0,,kg
Growth_Parameters,linf,,kg
Growth_Parameters,cvmin,,kg
